id,is_iceberg
5941774d,0.013714990578591824
4023181e,0.8759654760360718
b20200e4,0.3588545620441437
e7f018bb,0.9987921118736267
4371c8c3,0.05968085303902626
a8d9b1fd,0.9923732876777649
29e7727e,0.02593998797237873
92a51ffb,0.9967901110649109
c769ac97,0.0010091845178976655
aee0547d,9.562177729094401e-05
565b28ac,4.883801238975138e-07
e04e9775,0.903921365737915
8e8161d1,0.005433154758065939
4cf4d256,0.9012870192527771
139e5324,0.9695295095443726
f156976f,0.0027488935738801956
68a117cc,0.94287109375
d9aa7a56,0.6336581110954285
9005b143,0.9668810963630676
5f6d3988,0.9912883043289185
9ad70954,0.05095238238573074
b9087b9e,0.09052438288927078
a39a1427,0.9736507534980774
82fbe8ed,0.013902345672249794
1fae4879,0.0001467122056055814
6dd8f13d,0.0008322963258251548
bbad5958,0.08858980983495712
54527583,0.7649750709533691
be8fa29c,0.524431049823761
81a3328f,0.997877836227417
1a3c0ab3,0.002788770943880081
4deeeb8b,0.9919050931930542
ac6d5632,0.8007354736328125
472dadb5,0.9892199635505676
96093f95,0.9698985815048218
f5b4e3df,0.9920063614845276
e01a3c92,0.023917287588119507
001680af,0.9452922940254211
8e639f33,0.06524299830198288
a2c16612,0.9031542539596558
a6d76474,0.017110047861933708
19c47684,0.9859041571617126
015827b6,0.17721335589885712
7df7f7ce,0.9017547965049744
0bbf1a3f,0.9954065084457397
636cfbb7,0.8251761794090271
7370030a,0.9987413287162781
43aa97ad,0.2642330527305603
ba2b5e63,0.9923410415649414
dfdd335b,0.9510766267776489
e79b13dc,0.09388072788715363
dc32b195,0.8412439823150635
6d868590,0.9931930899620056
75fa59aa,0.9680234789848328
ffe50836,0.9784584641456604
a7bfd784,0.9750789403915405
b3d569e3,0.011655186302959919
6c538c5b,0.12226717174053192
5c7c15f4,0.022749220952391624
0b745139,0.4924955666065216
fd14608e,0.8766505718231201
f0bc8305,0.3716889023780823
a10ccb28,0.9972684383392334
543304c7,0.8734766840934753
6c3a4078,0.00033717823680490255
9b73cc75,0.9022781252861023
5c6c71b1,0.10450735688209534
09ee9186,0.9785272479057312
207c35cf,0.7487130761146545
153c813e,0.022389546036720276
5605d58b,0.9489240050315857
642ca396,0.02675718069076538
d32d72c0,0.7919167876243591
16646a17,0.9506020545959473
384074af,0.9705681800842285
69bf1e8c,0.8517307639122009
9e90a054,0.9476231932640076
89dbe7f7,0.9987384676933289
dbd27d22,0.9871883392333984
a2ea1561,0.8486856818199158
d63402af,0.6045631170272827
1ac8bb92,0.993053138256073
8beffca5,0.29941654205322266
46741f3e,0.0020585095044225454
e5ee6aa7,0.0072040562517941
5ecd892b,0.48304224014282227
69892166,0.03045549802482128
2f725a81,0.42068952322006226
810abfe4,0.01819247007369995
e6f973e6,0.958782970905304
c60a5c46,0.8559357523918152
c42b9e08,0.8602879643440247
c3f00c23,0.7386721968650818
5307fdb8,0.9656283855438232
3e4f005e,0.003886786988005042
4a4cc2e0,0.9516109228134155
9bdd88d1,7.2502530201745685e-06
0d832bed,0.05344530940055847
14a134fa,0.9793923497200012
78a41676,0.1981380730867386
0bd4658e,0.9025481343269348
4a311bb0,0.9837623834609985
f939c817,0.11223243921995163
956adc4d,0.9965000152587891
f8a119f5,0.9234509468078613
61faa1ad,0.9353011250495911
6725eb3e,0.21074165403842926
